name,tradeType,ticker,strikePrice,optionType,date,price,timePlaced
chesssky,BTO,AMD,88c,C,4/30,1.31,2021-04-26 06:48:35.792768
Tatoepaladin,BTO,ROKU,360c,C,4/30,5.5,2021-04-26 06:49:22.633956
Kromosome,BTO,FCEL,12c,C,5/21,.56,2021-04-26 06:50:29.300787
sightshootkill,BTO,SPY,417P,P,04/26,.53,2021-04-26 06:51:08.627110
Kromosome,BTO,SPY,415P,P,04/26,.21,2021-04-26 06:52:39.474159
Kromosome,BTO,SPY,415P,P,04/26,.21,2021-04-26 06:53:11.527575
Ryndant,BTO,HOME,35C,C,5/21,1.1,2021-04-26 06:53:17.241040
combs,BTO,AMD,90c,C,4/30,.88,2021-04-26 06:53:25.394866
